"type","date","summary","link","critical","non_critical","hall","crit_count","noncrit_count","year","month"
"Critical Control Point Inspection",2014-06-23,"2 observations","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=FE10B5567381DF8A85257D0000699905",NA,NA,"Aladdin's Eatery",NA,NA,2014,"June"
"Standard Inspection",2014-06-23,"2 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=2CC8A234D1321A8E85257D000066ED0D","
3717-1-03.2(J) / Food contact with equipment and utensilsCritical    Observed food in contact with an unclean surface. Souffle cup used for scoop in fruit storage refrigerator, measuring cup handle found in contact with the raw rice.. The entire scoop is handled.  Use scoops with handles and keep handlels stored out of the food.Food shall only contact the surfaces of cleaned and sanitized equipment and utensils or single-use and/or single-service articles.   Correct By:  23-Jun-2014
 3717-1-06.2(C) / Handwashing sinks - hand drying provision.Critical    Observed no towels or hand drying device at the dishwashing room handwashing sink.Each handwashing sink or group of adjacent handwashing sinks shall provide hand drying by a means described in this rule.   Correct By:  23-Jun-2014
","
 3717-1-04.4(A)(1) / Equipment - good repair and proper adjustment.    Equipment and/or components are not maintained in good working order. Mixer blade has accumulated many nicks on the outside edge of the blade. Metal pieces may come off into food.Equipment shall be maintained in a state of repair and condition that meets the requirements specified under rules 3717-1-04 and 3717-1-04.1 of this code. Correct as soon as possible.
 3717-1-06.4(F) / Drying mops.    Observed mops being dried using an unapproved method.After use, mops shall be placed in a position that allows them to air-dry without soiling walls, equipment, or supplies.   Correct By:  23-Jun-2014
","Aladdin's Eatery",2,2,2014,"June"
"Standard/Process Review Inspection",2025-04-09,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=D9DBB98E355642BE85258C67005ED899","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Azariah's Cafe",0,0,2025,"April"
"Standard/Process Review Inspection",2024-10-07,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=B28BCE481206498F85258BAF0058F64B","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Azariah's Cafe",0,0,2024,"October"
"Standard/Process Review Inspection",2024-04-15,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=10070460401473C085258B00005A0DC8","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Azariah's Cafe",0,0,2024,"April"
"Standard/Process Review Inspection",2023-10-24,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=F28777860DEF66D185258A52005E5C52","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Azariah's Cafe",0,0,2023,"October"
"Standard/Critical Control Point Inspection",2023-04-19,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=D6A2744E9643AA0C852589960065B456","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Azariah's Cafe",0,0,2023,"April"
"Standard Inspection",2022-04-26,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=FC49F4F18EC0E8078525883000463AFE","
3717-1-05.3(C) / Sewage and other liquid waste: Backflow prevention.Critical    Direct connection between the sewage system and a drain originating from equipment in which food, portable equipment, or utensils are placed.
-Observed the drainage lines for the coffee machines to be inserted into the sewage drains.
-Correct the drainage lines to ensure there is a 2' air gap.  
","

","Azariah's Cafe",1,0,2022,"April"
"Standard Inspection",2021-05-04,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=74BCC3BEEC5F43E0852586CB0059094A","
3717-1-05.1(D) / Backflow prevention - air gap.Critical    Insufficient air gaps for drink/ coffee machines/ water outlets under counter. Correct air breaks into air gaps. 
","

","Azariah's Cafe",1,0,2021,"May"
"Standard Inspection",2020-09-23,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=5508265CF37EFD03852585EC004F1AEE","
3717-1-04.4(N)(3) / Manual and mechanical warewashing equipment, chemical sanitization (quaternary ammonium) - temp., pH, concentration, and hardnessCritical  Corrected During Inspection Quaternary ammonium sanitizing solution at incorrect concentration. Observed sanitizer bucket concentration too low. Employee remade bucket during inspection. 
","

","Azariah's Cafe",1,0,2020,"September"
"Standard Inspection",2019-10-03,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=22547B57449C65D58525848800710F98","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Azariah's Cafe",0,0,2019,"October"
"Standard Inspection",2019-03-12,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=7B42895E296BE1F1852583CB005F2AFC","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Azariah's Cafe",0,0,2019,"March"
"Standard Inspection",2018-09-13,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=CEFC98D1E9DC930285258307006E947F","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Azariah's Cafe",0,0,2018,"September"
"Standard Inspection",2017-04-20,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=D2E05F24B652591D85258108007095E7","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Azariah's Cafe",0,0,2017,"April"
"Standard Inspection",2016-04-07,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=238D9B4AF7337C8E85257F8E006B696F","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Azariah's Cafe",0,0,2016,"April"
"Standard Inspection",2015-11-24,"1 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=3D8B420D142F8C4485257F070071C7FE","
3717-1-03.2(N)(1) / Gloves - single use glovesCritical  Corrected During Inspection Observed single-use gloves being used improperly.
-Employee did not remove gloves after cleaning dishes, prior to changing tasks and serving a cup of coffee. To prevent contamination: If used, single-use gloves shall be used for only one task, used for no other purpose, and discarded when damaged or soiled or when interruptions occur in the operation.
","
 3717-1-04.4(A)(1) / Equipment - good repair and proper adjustment.    Equipment and/or components are not maintained in good working order.
-Observed several large cracks in the mop sink. Equipment shall be maintained in a state of repair and condition that meets the requirements specified under rules 3717-1-04 and 3717-1-04.1 of this code.
-Repair or replace mop sink as necessary to prevent possible contamination.
 3717-1-06.2(C) / Handwashing sinks - hand drying provision.    Observed no towels or hand drying device at the handwashing sink(s).To prevent contamination by hands, each handwashing sink or group of adjacent handwashing sinks shall beprovided with: Individual, disposable towels; a continuous towel system that supplies the user with a clean towel; a heated-air hand drying device; or a hand drying device that employs an air-knife system that delivers high velocity, pressurized air at ambient temperatures.
","Azariah's Cafe",1,2,2015,"November"
"Follow-up Inspection",2015-03-18,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=FED4F8F28480A6ED85257E0C006318D4","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Azariah's Cafe",0,0,2015,"March"
"Standard Inspection",2015-03-05,"0 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=F4966FEB724AECA985257DFF0071C283","

","
3701–21-02(H) OAC / License not displayed;Display on exterior of mobile FSO    Observed a FSO that did not display their license at the facility.A licensee shall display the license for that food service operation at all times at the licensed location;
","Azariah's Cafe",0,1,2015,"March"
"Standard Inspection",2014-10-02,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=068C9403BBEF16B285257D65006AA897","
3717-1-04.2(I) / Sanitizing solutions - testing devices.Critical    There is no test kit available for measuring the concentration of the sanitizer. Replace the damaged test paper kit as soon as possible.A test kit or other device that accurately measures the concentration in PPM (mg/L) of sanitizing solutions shall be provided.
","

","Azariah's Cafe",1,0,2014,"October"
"Standard Inspection",2014-04-01,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=1DC9DE4ACF72410385257CAD006B7A10","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Azariah's Cafe",0,0,2014,"March"
"Standard/Critical Control Point Inspection",2025-04-09,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=EDFA87B751F9430E85258C67005D0B2A","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Heritage Dining Hall",0,0,2025,"April"
"Standard/Critical Control Point Inspection",2024-10-07,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=A19A87346D75E17585258BAF005589A7","
3717-1-03.4(H)(1) / Ready-to-eat, time/temperature controlled for safety food - disposition.Critical  Corrected During Inspection Ready-to-eat, TCS food not properly discarded when required.
-Observed crab salad with an expired date mark.
-Observed cooked rice with no date mark. Employees were unsure when the rice was made.
-PIC voluntarily discarded the food items. 
","

","Heritage Dining Hall",1,0,2024,"October"
"Standard/Critical Control Point Inspection",2024-04-15,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=E9CE6AFEFEC9F7C885258B000059A211","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Heritage Dining Hall",0,0,2024,"April"
"Standard/Critical Control Point Inspection",2023-10-24,"1 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=DC72BD27A2F5A46185258A52005AADBC","
3717-1-06.4(K) / Controlling pests.Critical    Presence of live insects, rodents, and other pests.
-Observed a few small flies by the soda machine in the dining area.
-Contact a licensed pest control company to abate the issue. 
","
 3717-1-03.2(Q) / Food storage - preventing contamination from the premises.  Corrected During Inspection Improper storage of food items.
-Observed two bags of onions on the floor in the kitchen.
-Observed boxes of food stored on the floor in the walk in freezer.
-PIC moved the bags of onions onto a service cart and instructed an employee to move the boxes of food in the walk in freezer to a shelf. 
 3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment. Repeat   Non-food contact surfaces of equipment are unclean.
-Observed old food build up on the base of the standing mixer.
-Clean the mixer to remove the build up. 
","Heritage Dining Hall",1,2,2023,"October"
"Standard/Critical Control Point Inspection",2023-03-15,"0 critical & 3 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=81106BDB4DFA8BAE85258973006BBF6A","

","
3717-1-04.8(A) / Equipment and utensils - air-drying required.    Equipment and utensils are not being air dried.
-Observed smallware being stacked while wet.
-Ensure smallware is air dried before stacking. 
 3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment. Repeat   Non-food contact surfaces of equipment are unclean.
-Observed food build up on mixer.
-PIC reports the mixer was not used recently.
-Clean mixer to remove food build up. 
 3717-1-04.5(D) / Nonfood-contact surfaces - cleaning frequency.    Non-food contact surface(s) not cleaned at the required frequency.
-Observed food spilled on the floor of the walk in freezer.
-Clean the floor to remove the spillage. 
","Heritage Dining Hall",0,3,2023,"March"
"Consultation Inspection",2023-03-15,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=572A7CD17690E5FE85258973006A0C56","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Heritage Dining Hall",0,0,2023,"March"
"Standard Inspection",2022-10-26,"3 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=6080822CA7B21481852588E7005BC7AA","
3717-1-02.2 (C ) / Hands and arms: when to washCritical    Food employee(s) did not wash hands when required.
-Observed an employee not wash their hands when they changed gloves. 
-Ensure employees know that they are required to wash their hands prior to donning and when changing gloves. 
 3717-1-04.4(L) / Mechanical warewashing equipment - hot water sanitization temperaturesCritical  Corrected During Inspection Hot water for mechanical sanitization is below required temperature.
-Observed the rinse cycle on the mechanical dish washing machine to only reach 100-101*F. 
-Do not use this machine until the rinse cycle can achieve 180*F. Use the 3 compartment sink until the unit is repaired.
-The PIC coached the employees not to use the machine, and a work order was put in for the machine. 
 3717-1-04.5(A)(1) / Cleanliness of equipment food-contact surfaces and utensils.Critical Repeat Corrected During Inspection Equipment food-contact surfaces or utensils are unclean.
-Observed old food debris on the can opener blade. 
-The can opener was taken to be cleaned during the inspection.  
","
 3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment.    Non-food contact surfaces of equipment are unclean.
-Observed old food debris on the guard of the stand mixer. 
-Ensure all nonfood contact surfaces of the mixer are cleaned more frequently. 
","Heritage Dining Hall",3,1,2022,"October"
"Standard Inspection",2022-05-05,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=2B5A5F39023BD8178525883900639B52","
3717-1-04.5(A)(1) / Cleanliness of equipment food-contact surfaces and utensils.Critical  Corrected During Inspection Equipment food-contact surfaces or utensils are unclean.
-Observed buildup on the blade of the can opener.
-PIC took the can opener to be cleaned during the inspection.  
","

","Heritage Dining Hall",1,0,2022,"May"
"Standard Inspection",2022-01-12,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=277EB5555C37885D852587C80070A7CF","
3717-1-03.4(F)(2) / Time/temperature controlled for safety food - cold holding of eggsCritical  Corrected During Inspection Raw shell eggs not maintained at 45° F or below. Observed eggs on top of box at 51-52*F with unknown timeframe for prepping on counter. Discussed with employee/PIC- facility voluntarily discarded eggs from top flat during inspection- rest of eggs moved to cooler due to temperature. 
","

","Heritage Dining Hall",1,0,2022,"January"
"Standard Inspection",2021-04-20,"1 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=F5369DCCE470181A852586BD006ADAF8","
3717-1-05.1(D) / Backflow prevention - air gap.Critical    Insufficient air gap for food prep sink. Observed an air break instead of air gap. An air gap between the water supply inlet and the flood level rim of the plumbing fixture, equipment, or nonfood equipment shall be at least twice the diameter of the water supply inlet and may not be less than one inch. Violation will be checked during next standard inspection. 
","

","Heritage Dining Hall",1,0,2021,"April"
"Standard Inspection",2020-08-12,"0 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=EF5F3A3275EE88AD852585C20055A718","

","
3717-1-05.1(C)(1) / Handwashing sink - required water temperature    Handwashing sink water below 100°F. Hot water not turned on/ working for handwashing sink by stove. Ensure hot water is functioning for hand washing sink.  
","Heritage Dining Hall",0,1,2020,"August"
"Standard Inspection",2019-10-03,"1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=5796CACAAD10C1A68525849400729680","
3717-1-03.2(U) / Food display - preventing contamination by consumers.Critical  Corrected During Inspection Food display not properly protected from contamination by consumers.
-Observed bulk foods displayed without protection from consumers. Provide lids or sneeze guards. 
","
 3717-1-05.1(S) / Plumbing system - maintained in good repair.    Plumbing system not properly maintained or repaired.
-Observed hot water faucet not working in 3 compartment sink in meat room. 
","Heritage Dining Hall",1,1,2019,"October"
"Standard Inspection",2019-04-24,"0 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=7D9E457FD0E4D98E852583E600521E75","
No critical violations were documented at the time of inspection.
","
No violations were documented at the time of inspection.
","Heritage Dining Hall",0,0,2019,"April"
"Standard Inspection",2018-10-04,"2 critical & 0 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=DEADA538A7BDED4B8525831C00680116","
3717-1-03.2(C) / Packaged and unpackaged food - preventing contamination by separation, packaging, and segregationCritical  Corrected During Inspection Food not properly protected from contamination by separation, packaging, and segregation.
-Observed eggs stored above ready-to-eat food 
 3717-1-03.2(U) / Food display - preventing contamination by consumers.Critical    Food display not properly protected from contamination by consumers.
-Except for nuts in the shell and whole, raw fruits and vegetables that are intended for hulling, peeling, or washing by the consumer before consumption, food on display shall be protected from contamination by the use of packaging; counter, service line, or salad bar food guards; display cases; or other effective means.  
","

","Heritage Dining Hall",2,0,2018,"October"
"Standard Inspection",2018-03-08,"0 critical & 4 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=89D4EFEA89848BAD8525824A007686EC","

","
3717-1-03.2(Q) / Food storage - preventing contamination from the premises. Repeat   Observed food on the floor of the walk-in cooler.Food shall be protected from contamination by storing the food in a clean, dry location, where it is not exposed to splash, dust, or other contamination, and at least six inches above the floor.
 3717-1-04.2(H)(2) / Temperature measuring devices - mechanical warewashing. Repeat   An irreversible registering temperature indicator (thermometer or labels) was not readily accessible in hot water mechanical warewashing operations.A temperature measuring device is essential to monitor mechanical ware washing to ensure sanitization.
 3717-1-04.2(I) / Sanitizing solutions - testing devices.    Observed no chlorine test strips available for measuring the concentration of chlorine sanitizer.To ensure proper sanitization, a test kit or other device that accurately measures the concentration in PPM (mg/L) of sanitizing solutions shall be provided.
 3717-1-04.5(A)(3) / Cleanliness of nonfood-contact surfaces of equipment.    Non-food contact surfaces of equipment are dirty. Observed build-up on the bottom of a two door cooler.Nonfood-contact surfaces of equipment shall be kept clean.
","Heritage Dining Hall",0,4,2018,"March"
"Standard Inspection",2017-09-14,"0 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=58B64628FB712E738525819B0052F324","

","
3717-1-06.1(A) / Floors, walls, and ceilings. Repeat   Floors, walls, and/or ceilings were not smooth and easily cleanable. Observed peeling paint in the small kitchen of this facility at the time of inspection. Peeling paint may or may not be lead based paint based on the age of the building.Floors, floor coverings, walls, wall coverings, and ceilings shall be designed, constructed, and installed so they are smooth and easily cleanable.
","Heritage Dining Hall",0,1,2017,"September"
"Standard Inspection",2017-03-30,"1 critical & 3 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=E7E415254E6344B7852580F3006A047B","
 3717-1-04.1(C) / Food-contact surfaces - cleanabilityCritical    Food contact surfaces were not easily cleanable, or not designed/constructed properly. Observed plastic food containers that were cracked.To prevent the growth of pathogens, Multiuse food-contact surfaces shall be: (1) Smooth; (2) Free of breaks, open seams, cracks, chips, inclusions, pits, and similar imperfections; (3) Free of sharp internal angles, corners, and crevices; (4) Finished to have smooth welds and joints; and (5) Except for cooking oil storage tanks, distribution lines for cooking oils, or beverage syrup lines or tubes; accessible for cleaning and inspection by one of the following methods: (a) Without being disassembled; (b) By disassembling without the use of tools; or (c) by easy disassembling with the use of handheld tools commonly available to maintenance and cleaning personnel such as screwdrivers, pliers, open-end wrenches, and Allen wrenches. Discard cracked plastic containers, replace only with NSF approved, commercial grade equipment.
","
3717-1-03.2(Q) / Food storage - preventing contamination from the premises.    Observed improper storage of food items. Observed two boxes of frozen food on the floor of the walk-in freezer.Food shall be protected from contamination by storing the food in a clean, dry location, where it is not exposed to splash, dust, or other contamination, and at least six inches above the floor.
 3717-1-04.2(H)(2) / Temperature measuring devices - mechanical warewashing.    An irreversible registering temperature indicator (thermometer or labels) was not readily accessible in hot water mechanical warewashing operations.A temperature measuring device is essential to monitor mechanical ware washing to ensure sanitization.
 3717-1-06.1(A) / Floors, walls, and ceilings.    Floors, walls, and/or ceilings were not smooth and easily cleanable. Observed paint peeling away from the wall in the ""meat kitchen"" portion of this facility.Floors, floor coverings, walls, wall coverings, and ceilings shall be designed, constructed, and installed so they are smooth and easily cleanable.
","Heritage Dining Hall",1,3,2017,"March"
"Standard Inspection",2016-09-26,"2 critical & 7 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=D6FA561C824BFD538525803A005D7EAB","
3717-1-02.2(B) / Hands and arms: cleaning procedure.Critical    Food employee(s) are not using proper procedure when washing hands and arms.
-Observed employee wiping hands on his apron. To prevent contamination, food employees shall clean their hands and exposed portions of their arms including surrogate prosthetic devices for hands or arms in a handwashing sink as specified in 3717-1-02.2 (B).
-Use the hand washing sink with soap and warm running water to wash hands when contaminated. 
-Discontinue wiping hands on aprons when soiled. Correct By: 26-Sep-2016
 3717-1-02.4(B) / Person in charge: demonstration of knowledge.Critical    The person in charge was unable to demonstrate proper knowledge of food safety and prevention.To prevent or correct factors that may cause foodborne illness, based on the risks inherent to the food operation, during inspections and upon request, the person in charge shall demonstrate to the licensor the applicable food safety knowledge at the time of inspection.
","
 3717-1-02.3(B) / Food contamination prevention - discharges from the eyes, nose, and mouth.    Observed food employee working while experiencing discharges from sneezing, coughing or runny nose.
-Observed a food employee sneeze into his apron. Employee did not change apron until prompted to do so. To prevent contamination, food employees experiencing persistent sneezing, coughing, or a runny nose that causes discharges from the eyes, nose, or mouth may not work with exposed food, clean equipment, utensil, linens or unwrapped single-service or single-use articles.
-During inspection, employee changed apron when prompted to do so.
 3717-1-02.3(C) / Hair restraints - effectiveness. Repeat   Food employee(s) did not have their hair effectively restrained.
-Food employees were not wearing hair nets or other effective hair restraint. To prevent contamination, food employees shall effectively restrain or cover hair to keep their hair from contacting exposed food, clean equipment, utensils or linens or unwrapped single-service or single-use articles.
 3717-1-03.2(K) / In-use utensils - between-use storage.    In-use utensils are improperly stored.
-Observed small scoops without handles stored directly in contact with food. During pauses in food preparation or dispensing, food preparation and dispensing utensils shall be stored as described in this rule.
-Store non-handled scoops on a clean surface outside of the food container to limit possible hand contact.
 3717-1-03.2(Y) / Miscellaneous sources of contamination.  Corrected During Inspection Miscellaneous sources of contamination observed.
-Observed a cell phone and laptop computer on a prep table and being used while cook was preparing food. Food shall be protected from contamination that is not specified under 3717-1-03.2 (A) to (X).
-Discontinue using items that are not intended for cooking while preparing food. 
-During inspection, phone and laptop were removed from the kitchen.
 3717-1-05.1(S)(2) / Plumbing system - maintained in good repair.    The plumbing system was not properly maintained.
-Observed a makeshift pipe cover made of foil and masking tape covering the drain pipe leading to a floor drain. A plumbing system shall be properly maintained.
-Remove non-approved materials. 
-Repair or replace pipes as necessary to ensure a proper 2"" air gap.
 3717-1-05.4(R) / Removal - frequency. Repeat   Observed an accumulation of refuse, recyclables, or returnables.
-Observed trash buildup in the basement storage rooms. 
-Observed a full trashcan in the Kosher kitchen. Refuse, recyclables, or returnables shall be removed from the premises at a frequency that will minimize the development of objectionable odors and other conditions that attract or harbor insects and rodents.
 3717-1-06.4(B) / Cleaning - frequency and restrictions.    Observed a build-up of dirt and debris.
-Observed food buildup and debris in both kitchens, on the walk-in cooler floor, and in the basement storage rooms. The physical facilities shall be cleaned as often as necessary to keep them clean, and cleaning shall be done during periods when the least amount of food is exposed.
","Heritage Dining Hall",2,7,2016,"September"
"Standard Inspection",2016-05-09,"2 critical & 2 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=30373F4C6847694985257FAE00604DCC","
 3717-1-03.2(C) / Packaged and unpackaged food - preventing contamination by separation, packaging, and segregationCritical  Corrected During Inspection Observed food that was not properly protected from contamination by separation, packaging, and segregation.
-Observed a box of raw eggs stored above packaged bread in the walk-in cooler. To prevent contamination, food shall be protected from cross contamination by separating raw animal foods during storage, preparation, holding, and display from cooked ready-to-eat food as described in this rule.
-Corrected; food was rearranged.
 3717-1-04.4(N)(1) / Manual and mechanical warewashing equipment, using chemical sanitization (chlorine) - temp., pH, concentration, and hardnessCritical    The concentration and/or temperature of a chlorine sanitizing solution did not meet the minimum requirements specified in the code.
-Observed a spray bottle of chlorine sanitizer with a concentration greater than 200ppm. To prevent pathogen growth, a chlorine solution shall have a minimum temperature based on the concentration and pH of the solution as specified in the code.
-Corrected; sanitizer concentration was diluted during inspection. Use test strips to verify concentration of sanitizer water.
","
3717-1-02.3(C) / Hair restraints - effectiveness.    Food employee(s) did not have their hair effectively restrained.To prevent contamination, food employees shall effectively restrain or cover hair to keep their hair from contacting exposed food, clean equipment, utensils or linens or unwrapped single-service or single-use articles.
 3717-1-06.2(C) / Handwashing sinks - hand drying provision. Repeat Corrected During Inspection Observed no towels or hand drying device at the handwashing sink(s).
-Paper towels were not stocked in either of the hand sinks. To prevent contamination by hands, each handwashing sink or group of adjacent handwashing sinks shall beprovided with: Individual, disposable towels; a continuous towel system that supplies the user with a clean towel; a heated-air hand drying device; or a hand drying device that employs an air-knife system that delivers high velocity, pressurized air at ambient temperatures.
-Corrected; paper towels were provided.
","Heritage Dining Hall",2,2,2016,"May"
"Standard Inspection",2015-10-15,"1 critical & 1 non-critical","https://healthspace.com/Clients/Ohio/LorainCounty/Web.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=9694D5BB5A7D56BD85257EDF005EF97A","
3717-1-02.4(C)(2) / Person in charge: duties - ensure unnecessary persons are not allowed in food prep or storage areas.Critical    The person in charge did not ensure that persons unnecessary to the operation were not present in food prep or storage areas.
-Observed a non-food worker enter the kitchen and get food for himself. To prevent contamination, the person in charge shall ensure that persons unnecessary to the operation are not allowed in the food preparation, food storage or warewashing areas, except brief visits and tours may be authorized.
-Discussed ways to keep non-food workers out of the kitchen. 
-Discussed hand washing procedures.
","
 3717-1-05.4(R) / Removal - frequency. Repeat   Observed an accumulation of refuse, recyclables, or returnables.
-Observed garbage cans in the kitchen that were full from the previous night's meal. 
-Observed empty cardboard boxes and packaging in the basement storage room. Refuse, recyclables, or returnables shall be removed from the premises at a frequency that will minimize the development of objectionable odors and other conditions that attract or harbor insects and rodents.
","Heritage Dining Hall",1,1,2015,"October"
